Key,Id,English(en),French(fr),German(de)
"Poking Stick III Description",103251361576574976,"Can you truly say that you know an object until you've poked it? Well this item is the ultimate poking implement.","Pouvez-vous vraiment dire que vous connaissez un objet jusqu'à ce que vous l'ayez piquer avec un bâton? Eh bien, cet objet est l'outil ultime pour piquer.","Kann man wirklich sagen, dass man einen Gegenstand kennt, bis man ihn berührt hat? Nun, dieser Artikel ist das ultimative Stochergerät."
"Spade I",174016190196801536,"Stone Spade","Stone Spade","Stone Spade"
"Spade I Description",174016346082304000,"Spade I Description","Spade I Description","Spade I Description"
"Spade II",179442305979703296,"Copper Spade","Copper Spade","Copper Spade"
"Spade II Description",179442336619094016,"Spade II Description","Spade II Description","Spade II DescriptionSpade II Description"
"Spyglass I",2803101130752,"Spyglass I","Longue-vue I","Fernrohr I"
"Spyglass I Description",2804602691584,"A glass you can spy with. This low tier spyglass can only get you so far.

Hold RMB to slow time and then A or D to cycle through the observable animals.","Un verre avec lequel vous pouvez espionner. Cette longue-vue de bas niveau ne t'ammeneras pas très loin.

Maintenez le bouton droit de la souris enfoncé pour ralentir le temps, puis appuyez sur A ou D pour parcourir les animaux observables.","Ein Glas, mit dem du spionieren kannst. 

Halte die rechte Maustaste gedrückt, um die Zeit zu verlangsamen, und drücke dann A oder D, um die beobachtbaren Tiere durchzugehen."
"Spyglass II",89890479312265216,"Spyglass II","Longue-vue II","Fernrohr II"
"Spyglass II Description",89890481317142528,"A glass you can spy with. This mid tier spyglass can get you a bit farther.","Un verre avec lequel vous pouvez espionner. Cette longue-vue de niveau  moyen  t'ammeneras un peu plus loin.","x"
"Spyglass III",89890483330408448,"Spyglass III","Longue-vue III","Fernrohr III"
"Spyglass III Description",89890485268176896,"A glass you can spy with. This high tier spyglass can get you all the way there.","Un verre avec lequel vous pouvez espionner. Cette longue-vue de haut niveau t'ammeneras jusqu'au bout.","x"
"Stone Axe",1327054249984,"Stone Axe","Hache en pierre","Steinaxt"
"Stone Axe Description",1331944808448,"A stone axe that cuts, very badly (not in the better sense)","Une hache en pierre qui coupe très mal (dans le sens négatif).","Eine Steinaxt, die sehr schlecht schneidet (nicht im positiven Sinne)."
"Stone Pick Axe",2533814231040,"Stone Pick Axe","Pioche en pierre","Stein-Spitzhacke"
"Stone Pick Axe Description",2535286431744,"A stone pick axe, it pokes rock really hard.","Une pioche en pierre, elle perce la roche vraiment fort.","Eine Stein-Spitzhacke, sie durchdringt den Fels wirklich hart."
"Torch",132969920560947200,"Torch","Torche","Fackel"
"Torch Description",132970036936105984,"A torch, you know, it gives off a bit of light.","Une torche, vous savez, elle émet un peu de lumière.","Eine Fackel, wissen Sie, sie gibt ein bisschen Licht ab."
"Vial",81585697497604096,"Vial","Phiole","x"
"Vial Description",81585723590369280,"A glass container for fragrances, at the moment.","Un conteneur pour des parfums, a l'instant.","x"
